name|ra|dec|vmag|class|bii|bv_color|lii|radvel
HR 1071|03 33 41.21|+57 52 08.0|6.37|STAR F7V|1.52090|0.51|143.17300|-72
HR 1072|03 32 39.10|+44 51 20.2|6.41|STAR B2IV|-9.17950|0.03|150.60900|2
HR 1073|03 33 39.00|+54 58 28.9|5.98|STAR A3V|-0.84230|0.11|144.84400|14
HR 1074|03 32 40.01|+35 27 42.1|5.90|STAR B1V|-16.75350|-0.06|156.31600|25
HR 1075|03 29 55.01|-42 38 03.1|5.78|STAR A5V|-54.40980|0.22|249.21400|12
HR 1076|03 30 13.61|-41 22 12.0|6.12|STAR F7V|-54.61400|0.48|247.06300|16
HR 1077|03 35 00.79|+60 02 28.0|6.46|STAR F3V|3.38790|0.39|142.04900|21
HR 1078|03 33 35.11|+39 53 57.8|5.81|STAR A5|-13.08590|0.11|153.72300|4
HR 1079|03 32 36.00|+09 22 25.0|5.77|STAR B9IV|-36.55030|-0.08|175.51400|7
HR 108|00 28 21.10|-20 20 06.0|6.43|STAR G0V|-81.39720|0.59|83.85330|6
HR 1080|03 39 24.79|+75 44 22.9|6.27|STAR G9III|16.20060|0.97|132.81400|28
HR 1081|03 30 37.01|-47 22 31.1|5.99|STAR A1V|-52.99570|0.11|256.86600|-12
HR 1082|03 31 53.90|-25 36 51.1|6.38|STAR A3V|-54.17980|0.12|219.83200|18
HR 1083|03 29 22.70|-62 56 15.0|4.72|STAR F5IV|-45.93600|0.40|278.35100|12
HR 1084|03 32 55.80|-09 27 29.9|3.73|STAR K2V|-48.05150|0.88|195.84500|15
HR 1085|03 34 08.30|+17 49 58.1|6.17|STAR K1IV|-30.19280|0.89|168.80800|11
HR 1086|03 34 26.59|+24 27 51.8|5.92|STAR A3V|-25.14060|0.13|163.95400|26
HR 1087|03 36 29.40|+48 11 34.1|4.23|STAR B5V|-6.08950|-0.06|149.17300|-1
HR 1088|03 33 47.30|-21 37 58.1|4.27|STAR B8V|-52.78430|-0.11|213.52000|14
HR 1089|03 34 49.20|+06 25 04.1|6.49|STAR G0|-38.17500|0.63|178.69700|-11
HR 109|00 28 26.40|-39 54 54.0|5.43|STAR M0III|-76.35260|1.56|321.93700|32
HR 1090|03 32 34.80|-50 22 43.0|5.68|STAR K2III|-51.64500|1.10|261.28800|37
HR 1091|03 34 37.39|-09 52 07.0|6.25|STAR A2V|-47.89650|0.02|196.68800|11
HR 1092|03 30 51.60|-66 29 22.9|5.83|STAR B8V|-43.68330|-0.06|282.23000|29
HR 1093|03 33 56.81|-31 04 49.1|6.20|STAR F5V|-54.47840|0.48|229.23000|-33
HR 1094|03 38 19.70|+56 55 58.1|6.30|STAR B9|1.12830|-0.13|144.22900|0
HR 1095|03 34 33.50|-31 52 28.9|6.40|STAR K3III|-54.39820|1.40|230.60800|14
HR 1096|03 32 51.60|-61 01 00.8|6.41|STAR K0III|-46.67740|1.04|275.71800|31
HR 1097|03 38 00.19|+42 34 59.2|6.42|STAR B8V|-10.43780|-0.06|152.76500|-1
HR 1098|03 35 57.70|-11 11 37.0|5.57|STAR|-48.25470|0.91|198.65900|37
HR 1099|03 36 47.30|+00 35 16.1|5.71|STAR G9V|-41.56870|0.92|184.91100|-23
HR 11|00 07 44.11|-02 32 56.0|6.43|STAR B8III|-63.28700|-0.14|98.02000|13
HR 110|00 28 56.59|+36 54 00.0|6.26|STAR G5III|-25.75360|0.92|117.94000|10
HR 1100|03 36 17.40|-17 28 00.8|5.23|STAR B9|-50.85060|-0.13|207.47200|14
HR 1101|03 36 52.39|+00 24 06.1|4.28|STAR F9IV|-41.66690|0.58|185.12500|28
HR 1102|03 37 47.81|+15 25 50.9|6.39|STAR A5IV|-31.35350|0.17|171.46000|33
HR 1103|03 39 00.10|+20 54 56.9|6.50|STAR A0|-27.13450|0.15|167.42800|-9
HR 1104|03 34 24.70|-65 45 51.8|6.75|STAR A3V|-43.83490|0.17|281.12900|11
HR 1105|03 42 09.29|+63 13 00.1|5.10|STAR|6.44410|1.63|140.83500|-22
HR 1106|03 37 05.71|-40 16 28.9|4.58|STAR K1III|-53.51380|1.04|244.85600|12
HR 1107|04 10 01.49|+86 37 34.0|5.86|STAR F5IV|24.91550|0.37|125.76600|-4
HR 1108|03 38 29.21|-07 23 30.1|5.85|STAR|-45.80750|0.98|194.29200|-30
HR 1109|03 29 58.80|-78 21 06.8|5.70|STAR G8III|-35.80110|0.93|293.79500|10
HR 111|00 28 43.10|-50 31 58.1|6.26|STAR K0III|-66.19800|1.09|311.90000|6
HR 1110|03 39 25.70|+16 32 12.1|6.16|STAR K0III|-30.28290|1.00|170.90100|14
HR 1111|03 39 01.10|-05 37 34.0|5.96|STAR K1V|-44.74800|0.92|192.27600|40
HR 1112|03 42 42.70|+59 58 09.8|5.76|STAR K3II|3.90280|1.71|142.86600|-10
HR 1113|03 41 07.90|+37 34 48.0|5.57|STAR B7V|-14.03770|-0.07|156.37300|-1
HR 1114|03 38 47.69|-27 56 35.2|6.01|STAR A0V|-53.07520|-0.02|224.15600|39
HR 1115|03 39 51.10|+03 03 24.8|5.57|STAR|-39.42420|0.94|183.01300|21
HR 1116|03 39 38.30|-03 23 35.2|6.23|STAR G5|-43.36930|1.04|189.82200|-18
HR 1117|03 39 25.39|-10 26 13.9|6.19|STAR G5|-47.14600|1.03|198.27900|23
HR 1118|03 40 46.30|+25 19 45.8|6.11|STAR A2IV|-23.55210|0.06|164.53900|-5
HR 1119|03 39 59.50|-01 07 14.2|6.12|STAR K1III|-41.96990|1.00|187.38300|26
HR 112|00 30 55.01|+77 01 09.8|6.21|STAR K0IV|14.19510|0.84|121.74500|19
HR 1120|03 40 11.40|-15 13 36.1|6.33|STAR G5|-49.11640|0.88|204.82900|-19
HR 1121|03 40 38.30|-05 12 38.2|5.53|STAR B9III|-44.18300|-0.15|192.09900|16
HR 1122|03 42 55.51|+47 47 15.0|3.01|STAR B5III|-5.76840|-0.13|150.28300|4
HR 1123|03 42 22.51|+33 57 54.0|4.97|STAR B0V|-16.70330|-0.01|158.91900|20
HR 1124|03 46 00.89|+67 12 06.1|5.80|STAR F0IV|9.83480|0.35|138.68100|6
HR 1125|03 41 13.80|-11 48 11.2|6.49|STAR F5II|-47.40010|0.36|200.36200|29
HR 1126|03 42 18.91|+19 42 01.1|5.69|STAR B9V|-27.50840|-0.01|168.99600|-10
HR 1127|03 44 06.41|+48 31 25.0|6.06|STAR K4III|-5.06490|1.55|149.98900|-12
HR 1128|03 41 22.39|-19 35 04.9|6.59|STAR A3V|-50.46280|0.09|211.26700|-8
HR 1129|03 46 02.30|+63 20 42.0|4.80|STAR G0III|6.81310|0.80|141.10300|-2
HR 113|00 30 19.90|+59 58 37.9|5.94|STAR B9III|-2.78620|0.01|120.29100|-17
