name|ra|dec|vmag|class|bii|bv_color|lii|radvel
HR 578|01 59 25.90|+12 17 40.9|6.09|STAR A6V|-47.26410|0.19|147.82400|-12
HR 5780|15 34 26.59|-09 10 59.9|5.17|STAR B6IV|36.35570|-0.09|356.07700|-2
HR 5781|15 35 53.21|-44 57 31.0|4.54|STAR B3IV|8.75960|-0.18|331.01700|7
HR 5782|15 40 21.19|-73 26 48.1|5.65|STAR B7III|-14.43780|-0.04|314.33600|-19
HR 5783|15 33 52.80|+17 08 16.1|6.45|STAR F3III|51.26080||26.64390|-21
HR 5784|15 36 12.10|-44 23 48.8|5.43|STAR K4III|9.17870|1.50|331.39900|-19
HR 5785|15 30 55.70|+64 12 31.0|5.79|STAR K0III|45.05210|0.96|99.67660|10
HR 5786|15 41 54.60|-76 04 54.8|5.95|STAR B9V|-16.56260|-0.04|312.71500|0
HR 5787|15 35 31.61|-14 47 21.8|3.91|STAR G8III|32.19580|1.01|351.51500|-28
HR 5788|15 34 48.10|+10 32 15.0|3.80|STAR F0IV|48.18800|0.26|17.59040|-38
HR 5789|15 34 48.10|+10 32 21.1|3.80|STAR F0IV|48.18880|0.26|17.59260|-42
HR 579|02 03 10.51|+73 51 02.2|6.23|STAR A5III|11.68180||127.94900|-5
HR 5790|15 36 11.40|-33 05 34.1|6.24|STAR B8V|18.18910||338.43400|-4
HR 5791|15 35 04.61|+01 40 08.0|6.56|STAR F0III|43.28260|0.28|6.98310|-20
HR 5792|15 40 11.50|-70 13 40.1|6.44|STAR A1V|-11.88970|0.08|316.35600|-2
HR 5793|15 34 41.30|+26 42 52.9|2.23|STAR A0V|53.77230|-0.02|41.86970|2
HR 5794|15 37 01.51|-28 08 06.0|3.58|STAR K3III|21.94510|1.38|341.88500|-25
HR 5795|15 35 33.19|+17 39 20.2|6.12|STAR|51.08340|0.94|27.64760|-22
HR 5796|15 35 53.40|+11 15 56.2|6.07|STAR|48.30450|1.09|18.74180|-26
HR 5797|15 38 03.19|-42 34 03.0|4.33|STAR K4III|10.44490|1.42|332.78200|-7
HR 5798|15 38 49.51|-52 22 22.1|5.44|STAR A0V|2.50040|0.00|326.99200|-12
HR 5799|15 36 33.70|-00 33 42.1|6.51|STAR G8III|41.62940|0.72|4.89170|-23
HR 58|00 15 55.20|-75 54 41.0|6.49|STAR G8III|-41.01930|1.00|305.78600|16
HR 580|02 03 26.09|+72 25 17.0|3.98|STAR A2V|10.31490|-0.01|128.37500|-14
HR 5800|15 35 15.00|+39 00 36.0|5.11|STAR M1III|54.02920|1.64|62.81080|-19
HR 5801|15 37 28.49|-26 16 48.0|6.19|STAR B7IV|23.30910|0.01|343.25100|1
HR 5802|15 36 29.59|+10 00 36.0|5.26|STAR K0III|47.56660|0.95|17.20930|8
HR 5803|15 39 56.50|-59 54 29.9|5.95|STAR F6V|-3.64490|0.48|322.62600|-22
HR 5804|15 36 29.30|+16 07 08.0|5.93|STAR F3V|50.29070|0.29|25.53990|-2
HR 5805|15 38 32.69|-39 09 38.9|6.57|STAR B9V|13.10100|-0.07|334.96300|5
HR 5806|15 37 48.10|-23 08 30.1|5.78|STAR K0III|25.64940|1.10|345.55100|7
HR 5807|15 38 42.31|-39 07 41.2|6.04|STAR A3|13.10810|0.21|335.00900|14
HR 5808|15 35 49.30|+38 22 26.0|6.42|STAR K2|53.98740||61.71420|3
HR 5809|15 38 15.70|-28 12 24.1|6.32|STAR K1III|21.71640|1.17|342.06300|29
HR 581|02 05 07.39|+77 16 53.0|5.38|STAR F0V|15.00450|0.31|127.06200|-26
HR 5810|15 38 16.30|-21 00 58.0|5.84|STAR|27.17350|1.08|347.21000|32
HR 5811|15 35 16.30|+53 55 18.8|5.97|STAR|49.84730|1.18|86.15910|-10
HR 5812|15 38 39.41|-29 46 40.1|3.66|STAR B2V|20.44820|-0.17|341.06500|3
HR 5813|15 36 53.40|+29 59 28.0|6.52|STAR F5V|53.75170||47.47380|-13
HR 5814|15 38 54.50|-19 18 06.8|5.38|STAR G8III|28.34550|0.86|348.63300|47
HR 5815|15 38 40.01|-08 47 39.8|6.50|STAR F6IV|35.86490|0.53|357.31400|4
HR 5816|15 38 40.10|-08 47 28.0|6.48|STAR F6V|35.86690|0.52|357.31700|0
HR 5817|15 36 04.10|+52 04 10.9|6.74|STAR F4III|50.49400|0.32|83.44260|-16
HR 5818|15 35 57.10|+54 37 50.2|5.74|STAR A2V|49.45270||87.08100|-19
HR 5819|15 39 21.29|-23 09 01.1|6.34|STAR A0V|25.40820|0.02|345.84300|-9
HR 582|02 00 09.19|+03 05 49.9|5.88|STAR G2IV|-55.52810|0.62|154.33600|-17
HR 5820|15 39 46.01|-34 24 42.8|4.67|STAR G8III|16.69310|0.99|338.18800|-23
HR 5821|15 40 58.30|-47 44 08.2|6.23|STAR K5III|6.00880|1.63|330.05200|-54
HR 5822|15 40 15.41|-31 12 49.0|6.34|STAR K2III|19.11840|1.43|340.38200|-22
HR 5823|15 37 49.61|+40 21 11.9|5.24|STAR G7III|53.36480|0.88|64.95340|-10
HR 5824|15 40 16.90|-23 49 05.2|4.96|STAR K3III|24.76580|1.33|345.53400|-22
HR 5825|15 41 11.30|-44 39 40.0|4.64|STAR F5IV|8.43380|0.40|331.95800|-5
HR 5826|15 31 24.89|+77 20 57.8|4.96|STAR K5III|36.45840|1.58|112.85300|-25
HR 5827|15 38 48.91|+34 40 30.0|6.11|STAR K0|53.57850|1.02|55.40740|4
HR 5828|15 37 31.99|+54 30 32.0|5.87|STAR|49.29810|1.07|86.76080|-23
HR 5829|15 29 10.99|+80 26 55.0|6.58|STAR G0IV|34.31350|0.67|115.60000|-14
HR 583|01 59 46.10|-20 49 27.8|5.41|STAR M1III|-73.18710|1.65|194.59500|-15
HR 5830|15 38 16.20|+46 47 52.1|5.75|STAR F2V|51.92740|0.36|75.31870|-2
HR 5831|15 40 10.39|+12 03 11.2|6.25|STAR G7III|47.74460|0.94|20.51510|-21
HR 5832|15 42 37.20|-49 29 21.8|6.04|STAR K2III|4.44730|1.31|329.20500|-20
HR 5833|15 39 22.20|+36 38 12.1|6.00|STAR B9V|53.41450||58.69930|-19
HR 5834|15 39 22.70|+36 38 08.9|5.07|STAR B7V|53.41290|-0.12|58.69780|-24
HR 5835|15 38 34.30|+50 25 23.9|5.84|STAR G8III|50.73890|0.83|80.80340|-14
HR 5836|15 43 55.10|-60 17 13.9|6.48|STAR G0I|-4.24630|1.05|322.79200|-37
HR 5837|15 42 38.30|-37 25 30.0|5.24|STAR G8III|13.97370|0.98|336.71400|-16
HR 5838|15 41 56.81|-19 40 44.0|4.74|STAR M0III|27.58310|1.57|348.94000|-4
HR 5839|15 42 40.99|-34 42 38.2|4.75|STAR B5V|16.08430|-0.14|338.48100|4
HR 584|01 57 53.59|-65 25 28.9|6.37|STAR G8II|-50.29660|0.90|292.20400|12
HR 5840|15 40 59.21|+16 01 28.9|6.01|STAR G8III|49.26040|0.90|26.06560|3
HR 5841|15 39 09.50|+57 55 27.8|6.45|STAR K1III|47.56020|1.09|91.20650|-8
HR 5842|15 41 33.10|+19 40 13.1|4.52|STAR A1V|50.45140|0.04|31.41560|-17
HR 5843|15 41 47.40|+12 50 51.0|5.33|STAR A0|47.75110|0.04|21.83440|2
HR 5844|15 37 39.10|+69 16 59.9|5.62|STAR K5III|41.46030|1.35|104.68500|-29
HR 5845|15 41 54.70|+18 27 50.0|5.81|STAR A2|49.96260|0.20|29.68710|-30
HR 5846|15 44 22.61|-41 49 09.8|5.94|STAR A0V|10.32210|0.00|334.18900|19
HR 5847|15 43 24.89|-15 02 35.9|6.31|STAR K0IV|30.68370|1.16|352.90700|21
HR 5848|15 44 04.39|-15 40 22.1|5.41|STAR F0IV|30.12530|0.23|352.52300|-31
HR 5849|15 42 44.59|+26 17 44.2|3.84|STAR B9IV|51.92370|0.00|41.74110|-11
HR 585|02 00 00.29|-21 04 40.1|4.00|STAR M0III|-73.24370|1.57|195.47200|18
HR 5850|15 43 10.61|+13 40 04.1|6.48|STAR G5III|47.80660|0.86|23.15170|-10
HR 5851|15 47 53.59|-65 26 33.0|6.18|STAR A5III|-8.57910|0.22|319.94400|-30
HR 5852|15 47 53.71|-65 26 33.0|6.39|STAR F0IV|-8.57920|0.24|319.94400|-24
HR 5853|15 44 01.80|+02 30 54.0|5.88|STAR G2V|41.96760|0.68|9.69820|19
HR 5854|15 44 16.10|+06 25 32.2|2.65|STAR K2III|44.07890|1.17|14.20280|3
HR 5855|15 43 59.30|+32 30 56.9|5.56|STAR|52.44230|1.06|51.86870|-4
HR 5856|15 46 12.79|-28 03 42.1|6.51|STAR F2IV|20.69210|0.32|343.59600|-21
HR 5857|15 42 50.69|+52 21 38.9|5.51|STAR B9|49.42310|-0.07|83.25120|-16
HR 5858|15 44 42.10|+17 15 51.1|6.14|STAR A0V|48.91120|0.00|28.33350|-5
HR 5859|15 45 23.50|+05 26 48.8|5.58|STAR A0V|43.31960|0.04|13.26550|-10
HR 586|02 02 52.70|+64 54 05.0|6.00|STAR A1V|3.07320|0.03|130.41800|-25
HR 5860|15 46 44.21|-34 40 57.0|5.61|STAR B7V|15.57730|-0.11|339.16900|5
HR 5861|15 45 39.70|+00 53 29.0|6.33|STAR K0III|40.69200|1.19|8.25440|14
HR 5862|15 47 25.39|-40 11 39.1|6.42|STAR G5III|11.23160|0.88|335.68000|-28
HR 5863|15 46 05.59|-01 48 15.8|5.40|STAR B8III|38.98690|-0.03|5.53090|-12
HR 5864|15 47 28.99|-37 54 59.0|6.01|STAR G6V|12.98870|0.72|337.16300|-5
HR 5865|15 48 50.30|-52 26 17.2|6.07|STAR K2III|1.51940|1.38|328.16500|-18
HR 5866|15 46 45.41|-06 07 13.1|6.24|STAR K0|36.14030|1.17|1.43170|-51
HR 5867|15 46 11.30|+15 25 18.8|3.67|STAR A2IV|47.87220|0.06|25.98020|-1
HR 5868|15 46 26.59|+07 21 11.2|4.43|STAR G0V|44.10320|0.60|15.69660|-66
HR 5869|15 50 06.89|-53 12 33.8|5.77|STAR B9V|0.79630|-0.08|327.83400|16
HR 587|02 00 26.90|-08 31 25.0|5.51|STAR M3III|-65.24970|1.52|167.40600|6
HR 5870|15 47 17.30|+14 06 55.1|5.71|STAR A3V|47.09370|0.09|24.37820|-34
HR 5871|15 49 57.50|-48 54 42.8|5.84|STAR A1V|4.16250|0.07|330.50900|12
HR 5872|15 50 16.30|-45 24 06.1|6.12|STAR A9III|6.85900|0.29|332.76700|2
HR 5873|15 51 06.79|-55 03 20.9|5.73|STAR B2II|-0.73370|0.06|326.79000|-1
HR 5874|15 48 13.30|+13 47 19.0|6.00|STAR|46.75050|1.25|24.08460|-54
HR 5875|15 48 56.81|-03 49 07.0|5.53|STAR A5IV|37.18140|0.12|4.07960|-16
HR 5876|15 52 56.71|-65 09 09.0|6.54|STAR A5IV|-8.68920|0.19|320.54300|16
HR 5877|15 48 01.99|+31 44 08.9|6.44|STAR K5|51.53280||50.70380|-20
HR 5878|15 46 34.80|+55 28 28.9|5.92|STAR|47.71720|1.39|87.27590|-4
HR 5879|15 48 44.40|+18 08 30.1|4.09|STAR M0III|48.33210|1.62|30.09760|-39
HR 588|01 59 38.81|-42 01 50.2|5.57|STAR K1III|-69.60350|1.06|264.25100|27
HR 5880|15 48 34.39|+28 09 24.1|5.85|STAR G0I|50.97830|0.77|45.04930|25
HR 5881|15 49 37.20|-03 25 49.1|3.53|STAR A0V|37.29150|-0.04|4.59280|-9
HR 5882|15 51 31.51|-47 03 38.2|6.01|STAR K2III|5.43580|1.16|331.88300|30
HR 5883|15 50 57.50|-33 37 37.9|3.95|STAR B9IV|15.81810|-0.04|340.57000|5
HR 5884|15 53 22.80|-62 36 24.8|6.19|STAR K3III|-6.76370|1.47|322.22400|8
HR 5885|15 50 58.70|-25 45 05.0|4.64|STAR B3V|21.70600|-0.05|346.09800|3
HR 5886|15 46 40.01|+62 35 57.8|5.19|STAR A2IV|44.46000|0.04|96.42270|-6
HR 5887|15 47 37.99|+55 22 36.1|5.86|STAR A3|47.61940|0.25|87.05370|-2
HR 5888|15 50 17.50|+02 11 47.0|5.23|STAR G8III|40.50150|1.02|10.53760|-4
HR 5889|15 49 35.69|+26 04 05.9|4.63|STAR G3III|50.37220|0.80|41.87520|-19
HR 589|02 03 00.29|+64 23 24.0|5.58|STAR B8I|2.58500|0.38|130.57100|-20
HR 5890|15 52 51.50|-50 36 55.1|6.60|STAR K3III|2.54500|1.53|329.79700|0
HR 5891|15 55 29.59|-68 36 11.2|5.09|STAR G5II|-11.48210|1.13|318.46900|6
HR 5892|15 50 49.01|+04 28 40.1|3.71|STAR A2V|41.65890|0.15|13.15180|-9
HR 5893|15 52 12.79|-29 53 12.1|6.40|STAR K1III|18.45540|0.98|343.36000|-17
HR 5894|15 50 41.71|+15 08 01.0|5.20|STAR M7III|46.76100||26.23350|24
HR 5895|15 51 15.60|-03 05 26.2|5.11|STAR A3V|37.17890|0.12|5.24580|-8
HR 5896|15 51 38.40|-14 08 01.0|6.19|STAR G8III|29.89320|1.00|355.27000|-22
HR 5897|15 55 08.50|-63 25 50.2|2.85|STAR F2III|-7.52340|0.29|321.84500|0
HR 5898|15 54 52.61|-60 44 35.9|6.15|STAR B9II|-5.44580|0.10|323.56100|-5
HR 5899|15 51 15.91|+20 58 40.1|4.76|STAR K5III|48.70260|1.54|34.43700|-62
HR 59|00 16 34.10|+08 14 24.0|6.11|STAR G8II|-53.63670|0.92|108.27800|1
HR 590|02 02 18.10|+54 29 15.0|5.04|STAR B8III|-6.96670|-0.08|133.19000|-2
HR 5900|15 55 32.30|-60 10 40.1|5.77|STAR G5II|-5.06470|0.35|323.98800|
HR 5901|15 51 13.90|+35 39 27.0|4.82|STAR K1IV|51.04150|1.00|57.01710|-24
HR 5902|15 53 20.11|-20 10 01.9|5.03|STAR B2V|25.37990|-0.01|350.72400|6
HR 5903|15 44 03.50|+77 47 39.8|4.32|STAR A3V|35.65780|0.04|112.68000|-13
HR 5904|15 53 36.70|-25 19 37.9|4.59|STAR B2V|21.61340|-0.07|346.87700|-10
HR 5905|15 56 06.00|-60 28 58.1|5.76|STAR A3V|-5.34290|0.06|323.84500|-11
HR 5906|15 53 53.81|-24 31 59.2|5.39|STAR B6IV|22.14780|-0.02|347.51400|2
HR 5907|15 53 55.80|-23 58 41.2|5.42|STAR B2V|22.54540|-0.04|347.93200|-9
HR 5908|15 53 49.51|-16 43 45.8|4.15|STAR G8III|27.71770|1.02|353.54500|3
HR 5909|15 52 56.21|+17 24 13.0|6.36|STAR K0|47.13460||29.60700|-12
HR 591|01 58 46.20|-61 34 10.9|2.86|STAR F0V|-53.76010|0.28|289.44600|1
HR 5910|15 54 30.00|-27 20 19.0|6.14|STAR B6V|20.00480|-0.07|345.56700|4
HR 5911|15 53 12.10|+13 11 48.1|6.10|STAR G0V|45.40310|0.60|24.05780|36
HR 5912|15 54 39.50|-25 14 37.0|5.87|STAR B8III|21.51240|-0.06|347.12400|-9
HR 5913|15 53 34.90|+16 04 30.0|6.09|STAR F5II|46.49280||27.89220|2
HR 5914|15 52 40.49|+42 27 06.1|4.62|STAR F8V|50.31810|0.56|67.69720|-55
HR 5915|15 55 00.31|-19 22 59.2|5.94|STAR B5V|25.65840|-0.01|351.64600|-7
HR 5916|15 55 30.41|-31 05 01.0|6.21|STAR K4III|17.09070|1.37|343.07500|44
HR 5917|15 55 30.10|-26 15 56.9|5.62|STAR A3V|20.63760|0.15|346.52100|-29
HR 5918|15 56 06.50|-39 51 51.1|6.03|STAR B6V|10.41800|0.15|337.19400|-18
HR 5919|15 54 40.30|+08 34 49.1|6.29|STAR A7V|42.95800|0.18|18.57190|-25
HR 592|02 05 31.20|+76 06 54.0|5.22|STAR G8III|13.89530|0.95|127.43600|0
HR 5920|15 58 58.10|-65 02 16.1|5.75|STAR B7III|-9.01380|-0.06|321.10600|0
HR 5921|15 57 03.79|-48 09 43.9|6.31|STAR F1IV|3.99200|0.38|331.89600|2
HR 5922|15 52 16.61|+55 49 36.1|5.81|STAR|46.84000|0.96|87.28690|-30
HR 5923|15 56 13.90|-31 47 08.9|6.29|STAR F6V|16.46570|0.43|342.70400|18
HR 5924|15 54 34.61|+20 18 38.9|5.44|STAR M0III|47.75940|1.59|33.84510|-61
HR 5925|15 56 53.50|-33 57 59.0|5.12|STAR A3V|14.75030|0.12|341.29900|-10
HR 5926|15 56 54.19|-33 57 51.1|5.62|STAR B9V|14.75030|0.05|341.30200|-12
HR 5927|15 56 14.40|-14 23 57.8|6.37|STAR F7V|28.89780|0.48|355.92100|-6
HR 5928|15 56 53.11|-29 12 51.1|3.88|STAR B2IV|18.27070|-0.20|344.62900|0
HR 5929|15 57 21.29|-36 11 06.0|5.80|STAR K0III|13.02880|1.01|339.85400|-5
HR 593|01 55 50.50|-78 20 53.9|6.16|STAR F5IV|-38.26350|0.44|298.84100|6
HR 5930|15 56 33.41|-14 49 45.1|6.13|STAR A2III|28.54930|0.23|355.62100|12
HR 5931|15 55 39.79|+18 37 14.2|6.26|STAR B8III|46.95970|-0.11|31.61430|-42
HR 5932|15 54 37.90|+43 08 19.0|5.37|STAR M3III|49.86760|1.65|68.68020|-10
HR 5933|15 56 27.19|+15 39 42.1|3.85|STAR F6V|45.69600|0.48|27.72950|7
HR 5934|15 57 40.39|-20 58 59.2|5.85|STAR B3V|24.08550|0.02|350.88400|1
HR 5935|15 58 30.70|-37 30 11.2|6.31|STAR K0III|11.88820|1.01|339.13700|-14
HR 5936|15 55 47.59|+37 56 48.8|5.45|STAR F0IV|50.09830|0.33|60.60300|-12
HR 5937|15 59 54.00|-54 01 16.0|6.10|STAR B5IV|-0.75520|0.00|328.43100|-38
HR 5938|15 55 30.60|+42 33 58.0|5.75|STAR B9|49.78520|-0.11|67.76720|-17
HR 5939|16 01 10.70|-63 46 36.1|6.41|STAR F8II|-8.22390|0.78|322.12900|5
HR 594|02 01 14.71|-30 00 06.1|5.35|STAR G5III|-74.42190|0.88|227.66700|24
HR 5940|15 57 14.59|+14 24 51.8|5.54|STAR K1IV|45.02240|1.14|26.21110|-68
HR 5941|15 58 11.40|-14 16 45.8|4.88|STAR B5III|28.63160|-0.10|356.38700|-6
HR 5942|15 58 34.80|-24 49 53.0|5.43|STAR B5IV|21.19680|-0.09|348.11900|-11
HR 5943|15 59 30.31|-41 44 39.8|4.99|STAR K0II|8.57680|1.00|336.43600|-27
HR 5944|15 58 51.10|-26 06 51.1|2.89|STAR B1V|20.23050|-0.19|347.21500|-3
HR 5945|15 59 58.01|-40 39 10.1|6.49|STAR K1II|9.33990|1.52|337.23100|-26
HR 5946|16 01 06.41|-54 34 40.1|6.13|STAR A5V|-1.29150|0.25|328.20100|-32
HR 5947|15 57 35.30|+26 52 40.1|4.15|STAR K2III|48.78260|1.23|43.65280|-31
HR 5948|16 00 07.30|-38 23 48.8|3.41|STAR B2IV|11.00890|-0.22|338.77400|8
HR 5949|15 55 49.70|+58 54 42.1|6.31|STAR A0V|45.16680|-0.02|91.08220|-8
HR 595|02 02 02.81|+02 45 49.0|5.23|STAR A3|-55.59970||155.35100|9
HR 5950|15 57 29.90|+39 41 43.1|6.31|STAR K0|49.68480|1.07|63.28990|-14
HR 5951|16 02 52.39|-62 32 30.1|6.25|STAR B9V|-7.42730|-0.04|323.10100|4
HR 5952|16 00 53.71|-40 26 07.1|6.21|STAR A0V|9.38600|0.01|337.51100|-15
HR 5953|16 00 19.99|-22 37 18.1|2.32|STAR B0IV|22.49050|-0.12|350.09700|-7
HR 5954|16 00 19.61|-16 31 59.9|5.47|STAR F8V|26.72390|0.52|354.91200|-25
HR 5955|16 05 55.80|-72 24 02.9|5.70|STAR K1III|-14.87830|1.17|316.50900|49
HR 5956|16 01 19.51|-31 53 21.8|6.33|STAR K4III|15.65860|1.45|343.46100|1
HR 5957|15 58 57.70|+36 38 38.0|5.62|STAR|49.48570|1.49|58.57160|11
HR 5958|15 59 30.19|+25 55 13.1|2.00|STAR|48.16460|0.10|42.37390|-29
HR 5959|16 00 47.59|-08 24 41.0|5.55|STAR A0V|32.00020|0.05|2.00360|-19
HR 596|02 02 02.81|+02 45 49.0|4.33|STAR A0|-55.59970|0.03|155.35100|9
HR 5960|15 57 47.40|+54 44 58.9|4.95|STAR F0IV|46.50040|0.26|85.40900|-11
HR 5961|16 03 31.90|-57 46 31.1|4.63|STAR A7IV|-3.91830|0.24|326.34500|-14
HR 5962|16 03 12.91|-49 13 46.9|4.65|STAR G8III|2.52060|0.92|331.96700|0
HR 5963|16 00 51.10|+04 25 39.0|5.83|STAR|39.51990|1.00|14.86050|-4
HR 5964|15 59 04.39|+49 52 52.0|6.05|STAR F0IV|47.77230|0.29|78.49160|4
HR 5965|16 02 39.41|-29 08 08.9|6.03|STAR K3III|17.46500|1.31|345.65000|5
HR 5966|16 01 14.30|+17 49 05.9|5.12|STAR G8III|45.43880|0.99|31.19860|-19
HR 5967|16 03 24.19|-38 36 09.0|4.89|STAR B6IV|10.42670|-0.14|339.12000|-2
HR 5968|16 01 02.69|+33 18 13.0|5.41|STAR G0V|48.92350|0.60|53.48890|18
HR 5969|16 03 20.59|-25 51 55.1|5.00|STAR K5III|19.70520|1.22|348.16900|-39
HR 597|02 09 25.30|+81 17 44.9|6.05|STAR A1V|18.89120|0.11|125.99200|-13
HR 5970|16 03 34.30|-32 00 02.2|6.01|STAR F4IV|15.25170|0.47|343.74300|28
HR 5971|16 01 26.59|+29 51 04.0|4.99|STAR A0|48.45580|-0.07|48.30450|-19
HR 5972|16 02 17.69|+22 48 15.8|4.83|STAR A3V|46.78060|0.07|38.13740|-28
HR 5973|16 03 54.70|-24 43 35.0|6.21|STAR K0|20.42280|1.38|349.12100|26
HR 5974|16 04 17.81|-33 12 51.8|6.10|STAR A9IV|14.26310|0.34|342.99800|-28
HR 5975|16 04 36.70|-37 51 47.2|5.90|STAR F3IV|10.81270|0.40|339.80500|-6
HR 5976|16 03 45.70|+04 59 12.1|6.08|STAR G9III|39.19560|0.96|15.96800|-44
HR 5977|16 04 22.10|-11 22 23.2|5.07|STAR F5IV|29.42410||0.01900|-29
HR 5978|16 04 22.10|-11 22 23.2|4.77|STAR F5IV|29.42410|0.47|0.01900|-29
HR 5979|16 07 24.00|-56 11 29.0|6.16|STAR F2II|-3.09140|0.58|327.79700|2
HR 598|02 04 40.10|+65 06 11.9|6.52|STAR A0V|3.31960|0.00|130.54400|-4
HR 5980|16 06 29.40|-45 10 23.9|4.72|STAR A0|5.17340|0.23|335.09200|-16
HR 5981|16 02 05.50|+52 54 56.9|5.93|STAR|46.48460|1.48|82.59020|-7
HR 5982|16 02 47.90|+46 02 12.1|4.76|STAR B9III|47.97890|-0.11|72.69200|3
HR 5983|16 03 19.39|+36 37 54.1|5.83|STAR A2V|48.61060|0.56|58.56630|-1
HR 5984|16 05 26.21|-19 48 20.2|2.62|STAR B1V|23.59970|-0.07|353.19300|-1
HR 5985|16 05 26.50|-19 48 06.8|4.92|STAR B2V|23.60130|-0.02|353.19600|-4
HR 5986|16 01 53.30|+58 33 55.1|4.01|STAR F8IV|44.58500|0.52|90.19020|-9
HR 5987|16 06 35.50|-36 48 07.9|4.23|STAR B2V|11.32340|-0.17|340.83400|15
HR 5988|16 06 06.29|-23 36 23.0|5.92|STAR B8|20.85450|-0.08|350.34800|-7
HR 5989|16 05 44.50|-06 17 30.1|6.53|STAR F2IV|32.36580|0.48|4.86500|-11
HR 599|02 02 58.01|+33 17 02.0|5.50|STAR A2V|-27.24620|0.03|139.71400|3
HR 5990|16 05 59.81|-06 08 21.8|6.41|STAR K0|32.40890|1.03|5.05350|-32
HR 5991|16 07 16.39|-36 45 20.2|5.73|STAR F1IV|11.26410|0.29|340.96800|26
HR 5992|16 05 37.80|+08 05 46.0|6.29|STAR A3|40.35430|0.08|19.77110|-21
HR 5993|16 06 48.41|-20 40 09.1|3.96|STAR B1V|22.77310|-0.04|352.75000|-3
HR 5994|16 09 18.60|-57 56 03.8|5.57|STAR B9V|-4.55200|-0.04|326.80900|0
HR 5995|16 03 09.31|+59 24 38.9|6.19|STAR M1III|44.10630|1.58|91.19120|-5
HR 5996|16 07 03.41|-14 04 14.9|6.32|STAR G4IV|27.16730|0.66|358.18200|-16
HR 5997|16 07 24.31|-20 52 07.0|4.32|STAR G3II|22.53450|0.84|352.69700|-5
HR 5998|16 07 51.89|-24 27 42.8|6.33|STAR B7III|19.96930|-0.06|349.99400|-5
HR 5999|16 08 34.20|-39 06 19.1|7.05|STAR A7IV|9.37520|0.36|339.52400|8
HR 6|00 06 19.01|-49 04 30.0|5.70|STAR G1IV|-66.38650|0.52|321.58800|3
HR 60|00 16 57.10|+61 31 59.9|5.74|STAR G8III|-1.06360|0.88|118.83400|-4
HR 600|01 59 41.09|-66 03 59.0|6.10|STAR K1III|-49.63500|1.17|292.34200|5
HR 6000|16 08 34.39|-39 05 35.2|6.65|STAR A0III|9.38360|-0.07|339.53300|-3
HR 6001|16 08 07.61|-26 19 36.1|5.38|STAR M2III|18.62000|1.65|348.62900|-18
HR 6002|16 07 36.41|-12 44 44.2|5.78|STAR B9V|27.93150|0.01|359.41300|-25
HR 6003|16 08 43.70|-23 41 08.2|5.88|STAR B9IV|20.36830|0.02|350.73400|-14
HR 6004|16 07 37.49|+09 53 30.1|5.63|STAR A7V|40.76790|0.20|22.16070|-28
HR 6005|16 07 22.20|+21 49 21.0|6.14|STAR K4III|45.37610|1.37|37.26120|57
HR 6006|16 09 31.70|-32 38 58.9|6.19|STAR K0III|13.91250|0.79|344.21800|-5
HR 6007|16 09 52.61|-33 32 44.9|5.54|STAR B8V|13.21900|-0.10|343.63000|-21
HR 6008|16 08 04.51|+17 02 48.8|5.00|STAR G8III|43.63950|0.95|31.01640|-11
HR 6009|16 08 04.90|+17 03 15.8|6.25|STAR K1III|43.64080|1.14|31.02690|38
HR 601|02 02 35.21|+13 28 36.1|5.94|STAR M2III|-45.87670|1.59|148.19000|-7
HR 6010|16 08 28.01|+08 32 03.1|5.73|STAR M3III|39.94860|1.61|20.71430|-22
HR 6011|16 08 58.90|+03 27 15.8|5.91|STAR|37.28430|1.47|15.17430|9
HR 6012|16 09 55.20|-18 20 26.9|6.47|STAR F4V|23.81620|0.44|355.15300|-25
HR 6013|16 08 46.61|+17 12 20.9|6.14|STAR A0V|43.54160|0.00|31.30520|-17
HR 6014|16 09 11.21|+06 22 44.0|5.97|STAR K1IV|38.74250|1.00|18.39290|-4
HR 6015|16 11 17.69|-41 07 10.9|5.86|STAR F0IV|7.55140|0.27|338.51200|-14
HR 6016|16 09 50.50|-03 28 00.8|5.37|STAR K4III|33.24210|1.45|8.28330|-46
HR 6017|16 11 01.99|-29 24 59.0|5.13|STAR K3III|15.98640|1.12|346.80700|-27
HR 6018|16 08 58.30|+36 29 26.9|4.76|STAR K1III|47.47330|1.01|58.39680|-19
HR 6019|16 13 22.61|-55 32 26.9|5.81|STAR F2III|-3.18480|0.34|328.85600|-46
HR 602|02 01 42.41|-44 42 49.0|5.14|STAR K5III|-67.48390|1.49|268.86900|-31
HR 6020|16 20 20.81|-78 41 44.9|4.68|STAR M5III|-19.89380|1.69|312.41600|-12
HR 6021|16 20 26.81|-78 40 01.9|5.27|STAR K3III|-19.87850|1.41|312.44200|-10
HR 6022|16 13 16.80|-53 40 18.1|5.83|STAR M0I|-1.81710|1.96|330.13100|-12
HR 6023|16 08 46.20|+44 56 06.0|4.26|STAR B9|47.10740|-0.07|70.84790|-16
HR 6024|16 13 28.70|-54 37 50.2|4.94|STAR G8III|-2.53380|1.04|329.49300|-14
HR 6025|16 06 19.70|+67 48 37.1|5.44|STAR A0V|40.08760|-0.02|101.15500|-18
